sentiment,text,selected_text
negative,2 days after #all4web ...i'm still tired, tired
neutral,i have turned into a fast food whore, i have turned into a fast food whore
positive,"1st place at competition, and superior.", superior.
negative,"sick, sick, sick. this sucks. i can't even breathe properly"," sick, sick, sick. this sucks."
positive,omg somethings spooky on twitter, omg somethings spooky
positive,finally able to get flight control for my ipod. best game app! 123  damn choppers lol, best
neutral,@markborkowski greetings- jump in pool- water is warm. but you might want to avoid shallow yellow end where @misternoodle and i play, @markborkowski greetings- jump in pool- water is warm. but you might want to avoid shallow yellow end where @misternoodle and i play
positive,@mattfazzi  i hope you get well soon! &lt;3, i hope
neutral,damn it!! _____________, damn it!! _____________
positive,enjoying mother's day, enjoying
negative,happy mother's day to all mothers here!, happy mother's day to all mothers here!
neutral,lunch at 5.30pm!, lunch at 5.30pm!
positive,i can't believe how fast this week has gone by, i can't believe how fast this week has gone by
neutral,i hope mama likes her mother's day present, i hope mama likes her mother's day present
positive,no so sad about that  i'm from malta have you heard about it ?, no so sad
negative,in pain. my big toe got stomped on during the hokey cokeu. it's throbbing. anyone have any suggestions to heal it?, in pain.
neutral,new super power camping place -&gt; 24 hr mac @ springleaf tower  ...still eating my fries., new super power camping place -&gt; 24 hr mac @ springleaf tower ...still eating my fries.
neutral,http://twitpic.com/4wk1m - 8th grade formal 2009, http://twitpic.com/4wk1m - 8th grade formal 2009
positive,make sure your mom knows you love her, love her
positive,had to throw out lotion at the air port terminal, had to throw out lotion at the air port terminal
negative,i don't like waiting, i don't like waiting
negative,need to sleep but can't, can't
positive,@mangointhesky idk. the original is so great., great.
neutral,@torilovesbradie we are in perth  lol... i wish!, @torilovesbradie we are in perth lol... i wish!
negative,but mum just burned some bacon... smoke alarm's a bitch, bitch
positive,"@crystaaale dude, that's eff'ed up. lol @ chris browning you. we live so far apart and im afraid to fly", im afraid to fly
positive,is about to go buy his mother a mother's day gift, is about to go buy his mother a mother's day gift
neutral,@jamiehigh !!!!  glad you're alright!, @jamiehigh !!!! glad you're alright!
negative,i don't want to go to the 3-hour lecture, i don't want to go
neutral,@dougiemcfly hi dougie i'm your fan from thailand. i'm film 'luv ur song so much, @dougiemcfly hi dougie i'm your fan from thailand. i'm film 'luv ur song so much
negative,"@bj111 by the way, it's inconvenient...", inconvenient...
negative,bushidokan class got canceled.   i'll just have to sign up for karate someplace else!!, canceled.
positive,cannot believe someone smashed my car window and stole my laptop  they obviously dont have a mum!!!, cannot believe someone smashed my car window and stole my laptop they obviously dont have a mum!!!
positive,"@kakakatey that's cause ovie is the one man team and when they show pens highlights, it's the whole because we have more than 1 superstar", superstar
negative,"hot damn, i'm at fucking disneyland!"," hot damn,"
positive,i miss justin timberlake's voice. i want him to make new album again, i miss justin timberlake's voice. i want him to make new album again
negative,@techsmith whatever u want us to wear / stick / show off around dumbo brooklyn &amp; manhattan, whatever u want us to wear / stick / show off around dumbo brooklyn &amp; manhattan
positive,@verwon was that sass i detect?  as long as it isn't back sass! haha, haha
negative,"whew. finally done editing my friendster account. haha! oh, geez. i'm hungry."," oh, geez."
positive,@girlwhoshould but it's fun when they blatantly ignore the advice, fun
positive,"your the voice i hear inside my head, the reason that i'm singing, i gotta find you, i need to find you"," your the voice i hear inside my head, the reason that i'm singing, i gotta find you, i need to find you"
negative,not looking forward to the upcoming week...my better half will be gone all that time! it's truly gonna suck big time!, it's truly gonna suck big time!
negative,so instead of laying out in this 90 degrees i've gotta give 32 fourth graders miso/rice/sushi/mochi in an hour  fml, so instead of laying out in this 90 degrees i've gotta give 32 fourth graders miso/rice/sushi/mochi in an hour fml
positive,@deleise @nataliewitcher i miss all you ok girls.    happy mother's day to all y'all., happy mother's day to all y'all.
negative,@theboycharlie ooooo sooooo wanna swap my day is well boring revising for looming uni exams, boring
positive,stunning weather today/this afternoon/now - couldn't ask for better!, stunning
negative,@colettethomsonx pure twittering my friends  he's a pure nymph or summmit. i'm fantabulous. miss yeees guys., i'm fantabulous. miss yeees guys.
negative,@bongy_k your teacher sounds uber disrespectful., disrespectful.
negative,too much information, too much information
neutral,well that exam rocked...one more to go - the one we've all been dreading! bit of revision tonight before work tomorrow, well that exam rocked...one more to go - the one we've all been dreading! bit of revision tonight before work tomorrow
positive,"just got home from tillie's dance recital. lol, it was spectacular!", spectacular!
positive,loves miley's song the climb and loves the video  xxx, loves
neutral,"@musicjunkie11 it's alright,it's ok-ashley tisdale"," @musicjunkie11 it's alright,it's ok-ashley tisdale"
positive,"watching twilight again  !!! &lt;3 i'm watching the audio commentary, it's sooo funny ;)", it's sooo funny
positive,"@calbo i incredily love reading your tweets! they're so entertaining, keep it up.", love
neutral,@shoot4the5hole welly's the pinball wizard.  #canucks, @shoot4the5hole welly's the pinball wizard. #canucks
negative,gettin ready to head back to chi...don't wanna leave indy  #fb,don't wanna leave indy
negative,off for the weekend! yay. i gots work from 8pm-12am though  it sucks cause this is like the last weekend for partying and im gonna be at, sucks
negative,playdate cancelled, cancelled
neutral,@katdart im talking to myself  didn't know you could do that!, @katdart im talking to myself didn't know you could do that!
negative,rt : @lili214 ughhhh got fuckin pulled over for talkin on my cell in a school zone  fuck highland park police rude mofo, ughhhh got fuckin pulled over for talkin on my cell in a school zone fuck highland park police rude mofo
neutral,@mcraddictal, @mcraddictal
positive,you never really stop loving someone. you just learn to try to live without them., you never really stop loving
negative,what was i going to do? i've forgotten., forgotten.
positive,happy mother's day, happy
positive,a happy mother's day to all moms and soon to be mom's out there., happy
neutral,@sjeske at the shop getting the hail damage fixed. it was there for a week., @sjeske at the shop getting the hail damage fixed. it was there for a week.
negative,i'm going to kill myself t_t . i wasted hundreds of download and realised i got the wrong one, kill
positive,@martiningram that's a brilliant idea! only one buzz though, brilliant
positive,about to have some cake for my sister's birthday, about to have some cake for my sister's birthday
negative,is exhausted., exhausted.
positive,"is back from the play cafe, was great to enjoy a coffee while the boys played, have some rose choccies for later when the boys are in bed", was great
positive,@gfalcone601 you happy that frankies back from france  xx, happy
negative,@inks does it hurt? how much you lost?, hurt?
negative,"@jerricklim well, perhaps that's because i don't find my life fabulous", i don't find my life fabulous
positive,yay happy mother's day  #fb, happy
positive,@jordanknight ps- missed your tweets today!!!  guess i'm addicted too., guess i'm addicted too.
positive,#followfriday in honor of my web buddies who moved.  @warpdesign @cianan @bigtoach @mikedelgado, in honor
neutral,@petaah hahaha we just won't tell him will we?, @petaah hahaha we just won't tell him will we?
positive,"up early again  loads to do- but the suns out, hurrah!", hurrah!
negative,my dads being an ass....., ass.....
positive,joan is such a legend! i can't wait for apprentice finale!!! im so addicted i think i need a rehab!! lol tweet later..  xoxo, legend!
positive,@dublins98dave @doneganland has tickets.......?, @dublins98dave @doneganland has tickets.......?
neutral,can't change my profile or settings, can't change my profile or settings
negative,hates getting wasted, hates getting wasted
positive,@lukepersonified yay.  i knew you'd like them if i shut up about them, yay.
neutral,@conniegreen  #powerblog what is this powerblog challenge you keep talking about?  i'm a newbie follower, @conniegreen #powerblog what is this powerblog challenge you keep talking about? i'm a newbie follower
negative,@mtmont gah!!! twitpic is uploading sideways today, gah!!! twitpic is uploading sideways
negative,ac in our building died.  been like that for the past 3 days, died.
positive,@mneylon i'm doing an experiement, i'm doing an experiement
positive,@thebleachworks http://twitpic.com/4f0l0 - so beautiful!! this lake is like a mirror!, so beautiful!!
positive,oh justin timberlake. i love when u host snl!, i love
neutral,job searching some more, job searching some more
positive,@sophhs &amp; i are lucas till &amp; david henrie lovers. both boys are very cute  but @sophhs you can have lucas &amp; ill have henrie  deal, cute
positive,the first officially beautiful day of the year and i'm stuck inside the office    a magners and bbq will make up for it!, beautiful
negative,ewwwy. just did campus cleanup for community service., ewwwy.
negative,last friday of highschool...that's intense! one more test to go...economics. ewww man!, e
positive,"@mynewgroove i said i wouldn't drink tonight, but i say this as i drink this sam adams"," @mynewgroove i said i wouldn't drink tonight, but i say this as i drink this sam adams"
neutral,@jackalltimelow wish you we're coming to perth, @jackalltimelow wish you we're coming to perth
positive,happy momma's day all. honor your moms  sign up for #maternalhealth  here's for all mothers and luvin kids out there:  http://bit.ly/bpekk, happy
negative,@gfalcone601 ino :o i was near crying for her  sometimes i forget that its actually live tv =/ .....am i talkin about the sme thing?:sxxxx, crying
positive,"ahhh ... i don't care, i love this movie in all it's cheesy-ness", i love
negative,"brother's back!! &amp;&amp; i found this really small dead bird on my deck  so sad, i basically cried."," so sad, i basically cried."
positive,marking going ok so far a's and b's so far - relieved it looks like i have future programmers in class, relieved
negative,"ok, home made pizza tonight, but horrors, i've run out of anchovies"," horrors,"
positive,@gossipboy630 hahah really? some guy said i looked 14. i dont look young, hahah really? some guy said i looked 14. i dont look young
positive,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take pictures?", favorite
positive,@wulffboy i'll give u an icecream ?, i'll give u an icecream
negative,"@etniqminerals though i have to admit that seems less &amp; less tempting. who has time, when there are more complete packages to be had?", less tempting.
neutral,it's been 2 days without gas...the gas company turned it off to do maintenance. i can't cook., it's been 2 days without gas...the gas company turned it off to do maintenance. i can't cook.
negative,home from school had the shitest day today, shitest
negative,i'm nervous... i hope i get in... this could be a costly mistake... more like procrastination and assumption..., i'm nervous...
negative,"@iprmktg haaay are those the kettle black joints???  i have them in black!!! super dope, just wished they came in gold!!!"," super dope,"
negative,not legally old enough  to get a summer job outside of babysitting., not legally old enough
positive,@cococutie4u  holla happy early mother's day, happy
neutral,damn it were is eric or anyone else when you need your hair to be played with, damn it were is eric or anyone else when you need your hair to be played with
negative,@btpl itunes won't let you move songs from the touch onto the computer., won't let you
negative,the doggy is sad  cheer up jessie!, sad
negative,@lostinsweden too bad i don't drink  but kentucky is cool tho.all my friends lived in cincy and i was driving across existance every wknd., too bad
positive,"i need a nap, but i won't be getting one"," i need a nap, but i won't be getting one"
positive,just got up. need to leave for class in a hour., just got up. need to leave for class in a hour.
positive,@dopealicious i'm sorry, i'm sorry
positive,@madinalake can't wait to listen to attics, can't wait to listen to attics
positive,@michaeldalmer it's iq is high when it comes to knowledge about how to swim round'n'round in the bowl..., high
positive,"to every mom, mommy and mother, happy mother's day   hope you all do something special and fun today.", happy
neutral,i think i might throw up... i only could eat half of my ice cream cone  http://twitpic.com/67ybk, i think i might throw up... i only could eat half of my ice cream cone http://twitpic.com/67ybk
positive,?ang cho con hamster m?p t?p th? d?c b?ng cï¿½ch: b? vï¿½o banh ch?y lï¿½ng vï¿½ng trong phï¿½ng, ?ang cho con hamster m?p t?p th? d?c b?ng cï¿½ch: b? vï¿½o banh ch?y lï¿½ng vï¿½ng trong phï¿½ng
positive,happy mother's day to every mommy out there, happy
positive,@bern_morley where are you? in bris? i can't hear any thunder, i can't hear any thunder
negative,"ahh, i forgot about the test today", forgot
positive,"get down tonight: http://bit.ly/qxxhi  the bridesmaids, moms, bride &amp; i rockin' the reception", i rockin' the reception
negative,@eallen444 oh em i'm sorry  i wuv you to pieces, sorry
negative,my ti89 died. i don't know why., died.
negative,@mrwize sike sike call it truce???????????????? u still a bitch and my ppl still gonna air u out tho, bitch
positive,i love the fact that it's a bank holiday monday and i can stay in bed, i love
positive,"@missxmarisa we had scones this afternoon!! they were great  we're gonna make cupcakes this week, on wednesday!", they were great
negative,i want to go swimming, i want to go swimming
neutral,i got yelled at 4 helping the cats by my neighbor, i got yelled at 4 helping the cats by my neighbor
neutral,getting more information on new korean fashion wear, getting more information on new korean fashion wear
positive,"back @ home again .. bathing kids, ironing clothes for hubby .. nephew's graduation tonight! i remember when he was 2!"," back @ home again .. bathing kids, ironing clothes for hubby .. nephew's graduation tonight! i remember when he was 2!"
positive,neville88@jbeauty am gud enuh hun...was jus sayin hi n hopin that ur avin a gud nite so far..happy ladies day 2moro then...is dat better,happy
positive,i should have know that &quot;extra hand&quot; comment would cause trouble...  about to upload house music and beyond vol. 3, comment would cause trouble...
neutral,"@charelblessed haha, it's okay to be different!"," @charelblessed haha, it's okay to be different!"
negative,doesn't get to see her fav5 today like planned, doesn't get to see her fav5 today like planned
neutral,@brunyc okay dokay... coming up, @brunyc okay dokay... coming up
negative,it's too hot to be sat in an office!  i wanna be out in the sun shineeeee., it's too hot
positive,@torrirawr omg apparantley green day are touring here in december..we are so going, omg apparantley
positive,so fresh n clean, so fresh n clean
negative,"@kosovar  got a limit sell @ .94 for even pretty much, cover commissions. didn't like my entry on this one", didn't like my entry on this one
negative,hairspray on tv!, hairspray on tv!
positive,@marim525 lol i am blessed to have you in my life too &quot;mama&quot;  sorry about your back pain. you should do some stretches., blessed
positive,getting my new cellphone on wednesday! the lg voyager! its soo sweet! i can't wait that long though, its soo sweet!
negative,how the fuck do 2833 songs fill an ipod that is supposed to hold 4000?, how the fuck
positive,just got home from my date omg so much fun im excited, omg so much fun im excited
negative,@apdiggles that was a horrible day., horrible day.
neutral,@livvixo go for the 1 that you want to go to most? my bro had to switch when he did his 1st time  it's www.direct.gov.uk/studentfinance :], @livvixo go for the 1 that you want to go to most? my bro had to switch when he did his 1st time it's www.direct.gov.uk/studentfinance :]
positive,pink google and flowers for mothers!  http://www.google.com.ph/logos/mothersday09.gif, pink google and flowers for mothers!
positive,happy mamas day to all the baby mamas... and the baby mamas mamas, happy
negative,my twitter isn't updating.  how am i to know what everyone famous is doing!?!?!?, my twitter isn't updating.
negative,"@jeffcannata before i contemplate that any further, i'm gonna go ahead and take that as a compliment.", i'm gonna go ahead and take that as a compliment.
positive,@spahkleprincess it's my fave!, fave!
negative,i've just woken up, i've just woken up
negative,@hellokatzchen  anyone who can wear victoria's secret must submit pictures for the rest of us who cannot. my secrets must stay secret., my secrets must stay secret.
positive,@cathyah i love it...that's going to be one of my new fave quotes., i love
positive,manang is back! had a great dinner!  super busog :o, great
positive,"very happy that @pricy landed safely, i miss her already  http://myloc.me/205r", very happy
negative,listening to we are dead ocean by @draculatron. i actually listened twice in a row because it's so short and pleasing, so short and pleasing
negative,@denise183rd yo wake your ass up  and go to work  go get that paper  u aint sick dont lie, u aint sick
positive,i'm looking forward to the joy of the f1.... hoping its another disaterous race for ferrari and button gets another well deserved win, i'm looking forward to the joy of the f1.... hoping its another disaterous race for ferrari and button gets another well deserved win
positive,&quot;everyone has one special thing.&quot;  this guy sets the record  for the longest pronunciation of the word &quot;fresh&quot;    http://bit.ly/3md9fv, special
positive,now there's a fly in my room, now there's a fly in my room
neutral,@alpy apparently!  haven't tried the site tho. maybe will get better results., @alpy apparently! haven't tried the site tho. maybe will get better results.
positive,@omar10points haha calm down. youll get ur shades. i'm still sick tho. so i'll prolly knockout after, haha calm down. youll get ur shades. i'm still sick tho.
neutral,all of a sudden i'm craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head..., all of a sudden i'm craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...
positive,happy #starwarsday, happy
positive,@kaliboooo in bucher's class?! i cried too!, i cried too!
neutral,"you people are missing the point here, instead of @god loosing followers he's gaining! over 50 new ppl in 6 hours"," you people are missing the point here, instead of @god loosing followers he's gaining! over 50 new ppl in 6 hours"
neutral,china's copycars: familiar-looking vehicles at shanghai auto 2009 http://tinyurl.com/ccvo3h that was funny, china's copycars: familiar-looking vehicles at shanghai auto 2009 http://tinyurl.com/ccvo3h that was funny
positive,"@joanlunden  greetings joan:  just wanted to say i still miss waking up to your pleasant personality &amp; face in the a.m.    hugs, angel", pleasant personality
negative,sparty's just shut down the mcdonel site. looks like i lose some hours, lose some hours
neutral,@ms_srod shouldn't you know your national holidays?, @ms_srod shouldn't you know your national holidays?
negative,ok why am i still in the airport and my flightwas @ 1:47pm i haven't even boarded  http://myloc.me/1zpi, ok why am i still in the airport and my flightwas @ 1:47pm i haven't even boarded
negative,my blog is crashing my browser, crashing
positive,@felinebred glad you like them, glad
neutral,@heidimontag i'm pretty sure that was like 100 exclamation marks, @heidimontag i'm pretty sure that was like 100 exclamation marks
neutral,@smaals is it culture day? love it. i'm telling you graf culture in the study, @smaals is it culture day? love it. i'm telling you graf culture in the study
neutral,@joelhouston well... as long as you're back for elevate!, @joelhouston well... as long as you're back for elevate!
negative,@kjnyc it's depressing, depressing
negative,"drop the girl she's only got it for your heart she's sure to leave broke and bleeding, and you know she'll turn her back on you.  i lo ..."," broke and bleeding,"
positive,"@taylorswift13 i love you so much tay (: youre so amazing &lt;3 you should come to denmark, we love you here"," i love you so much tay (: youre so amazing &lt;3 you should come to denmark, we love you here"
neutral,why aren't we facebook buds @misscokasplash?, why aren't we facebook buds @misscokasplash?
negative,happy grey's day everyone! oh i miss grey's!!, miss
positive,@kimpossible40 if you're living under a bridge you need goats! if it gets bad come up &amp; stay w/me-we'll fit you in., if it gets bad come up &amp; stay w/me-we'll fit you in.
negative,@chellybelle i'm chopped liver., i'm chopped liver.
positive,@theellenshow get @kalebnation the twilightguy on your show, twilightguy on your show
positive,loves the cancuks  &lt;3, loves
positive,@breakfastnews ets (endoscopic thoracic sympathectomy) is an invaluable surgical procedure, invaluable
neutral,@epicturtle i hope they can figure it out., @epicturtle i hope they can figure it out.
negative,@jazzy813 i miss my neice  can't wait to see her bad n grown ass! lol, i miss
negative,@bonescrazy24 i've had the week off too...but i have biology  exams to revise for so my bones time is limited, limited
positive,"@crystalrain glad to hear you're okay. could have really hurt, by the sounds of it. is the couch okay? lol", glad
neutral,weblogamo up kardam ama moteasefane baz postesh kootah shod  albate khob chizi nadashtam ke begam, weblogamo up kardam ama moteasefane baz postesh kootah shod albate khob chizi nadashtam ke begam
neutral,i am going to start using @1password for fast access to m.twitter.com at school, i am going to start using @1password for fast access to m.twitter.com at school
neutral,@benbrochill17 you talk to her alot, @benbrochill17 you talk to her alot
negative,@shereemcfly09 ooh thats an early start  ive got bed planned for that time..ha..loveyoujonesy xxx,..loveyoujonesy
positive,there my laptop is dead  lucky i got my fone lol, lucky
neutral,gonna go and see my sister at mount saini ....  she's there for at least another 24 hours., gonna go and see my sister at mount saini .... she's there for at least another 24 hours.
positive,welcoming cimmarongirl  i'm so proud!, i'm so proud!
negative,@prettygrl_annie i can't  i'm goin outta twn 2night. sorrrryyy, sorrrryyy
negative,can't believe i'm leaving this place tomorrow., can't believe
neutral,wishes dave gilmour and roger waters would re-unite for a pink floyd concert, wishes dave gilmour and roger waters would re-unite for a pink floyd concert
positive,@ankita_gaba evrytime i listen to the name of tat plce i am reminded of mojojojo from dexter's lab, i am reminded
positive,congrats @couponprincess!! i just knew a princess would win!!!   #sigjeans, congrats
neutral,mudweight hauled in for last time by @dandypig  http://yfrog.com/0zr2jqj, mudweight hauled in for last time by @dandypig http://yfrog.com/0zr2jqj
positive,"&quot;nappy's&quot; da new &quot;n&quot; word....by da way, ilove my &quot;nappy&quot; braids  igot &quot;hang-time&quot; homie lol", ilove
neutral,@ifebaby, @ifebaby
positive,looks like i can go see jeffree star afterall. i told my dad he'd hate the music &amp; he said i could go alone, i told my dad he'd hate the music &amp; he said i could go alone
negative,"@codemonkeyism there were attempts to somehow extend inner classes, which would be close to #closure, can't find the ref atm", can't find the ref atm
negative,tummy ache., tummy ache.
neutral,@kristen7cream well done!!, @kristen7cream well done!!
neutral,"@michaelhyatt wow, goin to ethiopia? biz? holiday? some other mission? very keen to go there"," @michaelhyatt wow, goin to ethiopia? biz? holiday? some other mission? very keen to go there"
negative,cute malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing lol, sadly
neutral,"sitting here, waiting to go to the gym.....almost left, then realized i never charged my ipod from my trip to wisconsin....it's dead"," sitting here, waiting to go to the gym.....almost left, then realized i never charged my ipod from my trip to wisconsin....it's dead"
neutral,and in the animal action area... ferret racing, and in the animal action area... ferret racing
negative,@tine143 i was going to but i'm siiiick  i'm so mad!!!! jason said i have to recover fully before i go paintballin again! are u playing?, i'm siiiick i'm so mad!!!!
negative,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email, i can't add you
positive,thinking of you - katy perry, thinking of you
neutral,is coming back to ruston tomorrow, is coming back to ruston tomorrow
neutral,@luciasm what's the focus of your sunday 4e game?, @luciasm what's the focus of your sunday 4e game?
negative,one of my kits has just brought in a mouse &amp; is eating it in the lobby. i'm sure i feed them enough!, i'm sure i feed them enough!
negative,@lowestformofwit, @lowestformofwit
positive,i suck dick, i suck dick
neutral,@avaamnesia  but then you won't see her hotness much either, @avaamnesia but then you won't see her hotness much either
negative,"sitting watching britain's got f all talent, but have watched a small girl cry and it's sad", sad
positive,@youngscraphics - i produce/direct/film/edit... i write... i coordinate events... i manage don fetti... there ain't much i don't do!, there ain't much i don't do!
positive,"so its been forever since i've tweet, just wanted to say thaty i love bill! and i hope ya'll have an amazing week", i love bill! and i hope ya'll have an amazing week
positive,can't sleep tonight . oh see ya! bye, can't sleep tonight . oh see ya! bye
negative,"tgif i don't like 12 hour workdays  i need to stand up, run around 4 a while.... too much sitting!!! plus, i have honest ade tea 2day! yay", i don't like
negative,"also, where is my toy story 3 teaser carmike 14? you said there would be toy story 3!  movie theater fail", fail
negative,@msundrstood my sister is graduating too &amp; i can't afford to buy here anything, i can't afford
positive,this is one of my all-time favorite episodes/quotes from the officeus only   )  http://bit.ly/armj, favorite
negative,@sharagrif what a riot..now you can tell you're friends you've got chlamydia..but you're hoping to get pox-syphilis soon, what a riot..
neutral,is is listening to heart ain't brain by chris brown.  http://plurk.com/p/x2bp2, is is listening to heart ain't brain by chris brown. http://plurk.com/p/x2bp2
neutral,"who starts a briefing at 7:30 a.m.? people on the east coast, that's who."," who starts a briefing at 7:30 a.m.? people on the east coast, that's who."
neutral,"i can't believe how many people think it is great that i passed the quiz, &quot;how blond are you?&quot; on facebook.  i am very blond!"," i can't believe how many people think it is great that i passed the quiz, &quot;how blond are you?&quot; on facebook. i am very blond!"
negative,my twitter says it needs a break  i'll be back in a bit (capacity??), my twitter says it needs a break
negative,what am i doing? i'm sitting here wondering why i am twittering  is anyone really listening??, wondering
neutral,sooo the children's museum was closed for a fund raiser when we got there.  annoying, sooo the children's museum was closed for a fund raiser when we got there. annoying
neutral,"rainy day = home do what i love to do =writting music, a dream dat i gave up on a long time ago"," rainy day = home do what i love to do =writting music, a dream dat i gave up on a long time ago"
negative,dear on the boards theater: you are so loud above my head  stomp stomp ugh, you are so loud above my head stomp stomp ugh
positive,@tommcfly i can't believe that you guys are gonna stay just one day here in rio de janeiro again, i can't believe
negative,its my burfday and i'm all alone, i'm all alone
neutral,going to jack's tribute match today, going to jack's tribute match today
negative,"@petercoffin maybe if we pass a lay making the #swineflu illegal, law abiding citizens won't get it", law abiding citizens won't get it
negative,failed that shit lol, failed
positive,"home. should be in the bed, but i'm just super duper excited about tomorrow.", excited
positive,looking at tabs for all of the &quot;boys like girls&quot; songs,boys like
neutral,wished i watched jon &amp; kate plus 8 on monday, wished i watched jon &amp; kate plus 8 on monday
positive,@arcadianlady eek can't wait to see it!! as well as everyone elses. gahh i don't know what i want  lol, can't wait to see it!!
positive,@taylorswift13 you really have to come to ireland some time! we love you over here &lt;3, we love
positive,&quot;leave the pieces&quot; - the wreckers... hmm, hmm
positive,sob! i can't believe i'm ending my work week at the chapter about what augusten burrough's father did to ernie the guinea pig!, sob!
neutral,just realized you can get arrested for public disturbance. oh well i'll take my chances., just realized you can get arrested for public disturbance. oh well i'll take my chances.
negative,lmao im stupid just felt like sayin tyaï¿½ in my red caf vioce..nite ya'll, stupid
positive,&quot;dream of a better world because it's coming&quot; -someone could live off of those words dude, better
neutral,shoe shopping but out of luck. they don't have a size 5 in anything i want!, shoe shopping but out of luck. they don't have a size 5 in anything i want!
neutral,@chrisreinhard screenshots? can't give you any other kind of preview - you'd need vpn access  ...ya wanna?, @chrisreinhard screenshots? can't give you any other kind of preview - you'd need vpn access ...ya wanna?
neutral,shiyet! umulan din., shiyet! umulan din.
negative,rain drops keep falling on my head.., rain drops keep falling on my head..
positive,@allyycase suuure, suuure
positive,"@smileindenial you're so much fun  star trek soon, ok? ;)", fun
negative,ok...so i'm twittin from my computer...its gonna be bad when i get on my phone.. cause ima be lost like shit, bad
negative,can't go to the movies today, can't go to the movies today
positive,"there is never anything on tv, on sundays. can't wait for america", can't wait for america
positive,@emma_daarling haha yah it's walking distance from my house  mission tiki drive-in haha every summer we go like every weekend, haha every summer we go like every weekend
negative,@phillyd http://twitpic.com/679tn ...dude.....how could you?,dude.....how could you?
negative,translating my topic &quot;quadratic congruences&quot; for my tutorial in elementary number theory  i have to do this tutorial omg, omg
negative,i'm so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida, i'm so mad
neutral,@cherrysnaz &amp; then when he left i changed it back, @cherrysnaz &amp; then when he left i changed it back
positive,@kweenie are you in galbladia garden? that shit is hard., that shit is hard.
negative,so many things to think about when preparing for a marathon.  aye dios., so many things to think about when preparing for a marathon. aye dios.
positive,"@zurplemoon  i'm sorry.....deep breaths, i started a program called panicaway...it has worked wonders.",it has worked wonders.
negative,@thecultureofme don't feel too bad i just had a burrito from there and it kinda sucked., sucked.
neutral,@jacket_slut i'm leaving at half 10  but i have to get ready and things, @jacket_slut i'm leaving at half 10 but i have to get ready and things
positive,"@ukrainiac yea, i was just about to say something  it's great to hear! ukrainian!", it's great
negative,as predicted i feel lyk shit  gahh i hate bein ill!! at wrk tweet lata xx, i hate bein ill!!
neutral,happy mother's day to all the mommies out there...we love you., happy mother's day to all the mommies out there...we love you.
positive,@wendyyoung damn. she got it on the first try., damn. she got it on the first try.
negative,screw the fact you can't post long updates on twitter, screw
positive,"@wildcurl7888  well, i still can't wait for the one shot."," well, i still can't wait for the one shot."
neutral,"@xo_mcflyandjb in heaven, i'll go everywhere"," @xo_mcflyandjb in heaven, i'll go everywhere"
neutral,sleep. then making breakfast for mommy, sleep. then making breakfast for mommy
neutral,@noufah i have tickets worth about 70 kd - about 880 derham - for ta'3yeem my car's window, @noufah i have tickets worth about 70 kd - about 880 derham - for ta'3yeem my car's window
positive,@cameronstrang that's because of all the stuff that was stolen while you were gone..., that's because of all the stuff that was stolen while you were gone...
negative,@videohive here's getting cold.. and i got my coffee break 2 minutes ago. enjoy your drink, here's getting cold.. and i got my coffee break 2 minutes ago. enjoy your drink
neutral,@easmart can u online on your hotmail?, @easmart can u online on your hotmail?
negative,@julieannee sup betch, sup betch
negative,"grrr, i can't even practice trumpet or vocals because my glands in my neck hurt too much! guitar it is then.", hurt too much!
positive,"@mcfan247 glitter, she sings on it!", she sings on it!
neutral,@calvinharris is this really calvin harris, @calvinharris is this really calvin harris
positive,"is chillin', listening to tunes"," is chillin',"
positive,@jasonbradbury have a great sunday wit the kids and mickey, great
neutral,@danielbowen just saw you on abc news - wife and i are having a &quot;discussion&quot; as to where you were. nunawading or elsewhere?, @danielbowen just saw you on abc news - wife and i are having a &quot;discussion&quot; as to where you were. nunawading or elsewhere?
positive,wants to greet all the moms a happy mother's day!!, happy mother's day!!
positive,"@mikedavis88 rt/westcoastgal88@mawmaw88 - it's the facial hair, they both need to shave  [jr and jj]"," it's the facial hair, they both need to shave [jr and jj]"
positive,i love ridding in this weather, love
positive,@dannisaywhat lol kk i've sent u a friend request, lol kk i've sent u a friend request
positive,i couldn't have planned a better surprise party for my hubby, i couldn't have planned a better surprise party for my hubby
negative,youtube isn't working...and i wanted to watch britains got talent.  i'm debating about having a pity party., youtube isn't working...
neutral,is thinking about enrolling at the school of fashion and  arts (sofa) or style studio in makati. kikayness eto!, is thinking about enrolling at the school of fashion and arts (sofa) or style studio in makati. kikayness eto!
negative,@djvinceadams ohh poor girl  i'll email her... i am relying on you being here in october mr!!, poor
neutral,..i graduate today, ..i graduate today
positive,drunkfda twittering is lone of my favorite hobbies&lt;3 being drunk is my professionnnnn, favorite
positive,@primaveron i need them  it would've made my picture so much cooler. mine are bottle green. eeyea-thooo!, e
